Student ID,Age,Grade,School,Q1,Q1_Response Time Score,Q2,Q2_Response Time Score,Q3,Q3_Response Time Score,Q4,Q4_Response Time Score,Q5,Q5_Response Time Score,Q6,Q6_Response Time Score,Q7,Q7_Response Time Score,Q8,Q8_Response Time Score,Q9,Q9_Response Time Score,Q10,Q10_Response Time Score,Q11,Q11_Response Time Score,Q12,Q12_Response Time Score,Q13,Q13_Response Time Score,Q14,Q14_Response Time Score,Q15,Q15_Response Time Score,Q16,Q16_Response Time Score,Q17,Q17_Response Time Score,Q18,Q18_Response Time Score,Q19,Q19_Response Time Score,Q20,Q20_Response Time Score,Q21,Q21_Response Time Score,Q22,Q22_Response Time Score,Q23,Q23_Response Time Score,Q24,Q24_Response Time Score,Q1_Time,Q1_Time by Grade,Q2_Time,Q2_Time by Grade,Q3_Time,Q3_Time by Grade,Q4_Time,Q4_Time by Grade,Q5_Time,Q5_Time by Grade,Q6_Time,Q6_Time by Grade,Q7_Time,Q7_Time by Grade,Q8_Time,Q8_Time by Grade,Q9_Time,Q9_Time by Grade,Q10_Time,Q10_Time by Grade,Q11_Time,Q11_Time by Grade,Q12_Time,Q12_Time by Grade,Q13_Time,Q13_Time by Grade,Q14_Time,Q14_Time by Grade,Q15_Time,Q15_Time by Grade,Q16_Time,Q16_Time by Grade,Q17_Time,Q17_Time by Grade,Q18_Time,Q18_Time by Grade,Q19_Time,Q19_Time by Grade,Q20_Time,Q20_Time by Grade,Q21_Time,Q21_Time by Grade,Q22_Time,Q22_Time by Grade,Q23_Time,Q23_Time by Grade,Q24_Time,Q24_Time by Grade,How much did the student enjoy the activity,How is the student feeling,Total Score,Was your child's birth weight considered very low (3 pounds or less)?,Was your child born prematurely (before 37 weeks)?,Any birth complications or known birth defects?,Is there a family history (parent/sibling) of significant difficulty with mathematics or diagnosed dyscalculia?,Do you think your child particularly struggles in mathematics?,"Performance in Math
(original grades)","Performance in Math
(derived grades)","Performance in Other Subjects
(original grades)","Performance in Other Subjects
(derived grades)",Do you think the child struggles specifically in Math?
1029,10,3,AL-BAYAN,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-1,1,-1,0,0,0.5,0,1,0,1,0,0,-1,1,0,1,0,1,-1,1,0,0,0,1,0,1,0,1,0,20.22,Average,30.22,Slightly Above Avg,7.16,Average,7.1,Average,14.89,Slightly Above Avg,17.2,Slightly Above Avg,7.15,Average,4.65,Average,9.95,Slightly Above Avg,13.58,Way Above Avg,21.84,Way Above Avg,10.84,Slightly Below Avg,38.41,Slightly Above Avg,15.5,Average,21.06,Average,36.94,Way Above Avg,21.18,Average,17.42,Average,41.09,Way Above Avg,23.99,Average,49.32,Slightly Above Avg,18.06,Slightly Above Avg,8.51,Average,18.06,Slightly Below Avg,2,1,16.5,No,No,No,Yes,No,70.00%,Average,73.14%,Average,No
1056,13,2,AL-BAYAN,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,27.31,Average,36.95,Slightly Above Avg,7.78,Average,7.43,Average,6.86,Slightly Below Avg,4.69,Way Below Avg,16.3,Slightly Above Avg,5.86,Average,9.97,Slightly Above Avg,23.62,Slightly Above Avg,9.4,Average,53.54,Slightly Above Avg,8.6,Way Below Avg,63.51,Slightly Above Avg,16.06,Slightly Below Avg,12.12,Average,19.28,Average,8.31,Slightly Below Avg,26.71,Average,39.99,Slightly Above Avg,42.51,Average,25.21,Slightly Above Avg,14.74,Slightly Above Avg,34.87,Average,1,2,17,,,,,,78.00%,Above Average,86.67%,Good,No
1098,9,3,AL-BAYAN,1,0,1,0,1,0,1,0,1,0,1,0,1,-1,1,-1,0,0,1,-1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,-1,1,0,1,-1,0,-1,1,0,1,0,1,0,32.36,Slightly Above Avg,25.02,Slightly Above Avg,6.23,Average,6.28,Average,6.91,Average,13.63,Slightly Above Avg,34.3,Way Above Avg,17.14,Way Above Avg,6.33,Average,17.91,Way Above Avg,8.69,Slightly Above Avg,5.26,Way Below Avg,38.94,Slightly Above Avg,18.98,Average,15.9,Average,17.73,Average,29.7,Slightly Above Avg,59.28,Way Above Avg,33.16,Slightly Above Avg,47.62,Way Above Avg,154.78,Way Above Avg,10.72,Average,7.42,Average,36.05,Average,1,2,13,No,No,No,No,No,Meeting Class Benchmarks,Good,Meeting Class Benchmarks,Good,No
110101,8,2,CITY_SCHOOL,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,-1,1,0,1,0,16.85,Average,7.34,Way Below Avg,7.98,Average,6.65,Average,20.52,Slightly Above Avg,7.55,Average,7.92,Average,3.29,Way Below Avg,7.25,Average,7.01,Average,4.45,Slightly Below Avg,36.1,Average,61.38,Slightly Above Avg,7.13,Way Below Avg,31.63,Average,7.26,Slightly Below Avg,17.77,Average,10.32,Average,18.95,Slightly Below Avg,29.47,Average,30.9,Average,36.5,Way Above Avg,13.78,Slightly Above Avg,26.27,Slightly Below Avg,1,1,23,No,No,No,No,No,65.00%,Above Average,50.00%,Average,No
1103,10,2,AL-BAYAN,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,-1,0,0,1,0,1,-1,1,0,19.49,Average,9.35,Way Below Avg,8.46,Average,5.53,Slightly Below Avg,4.91,Way Below Avg,26.22,Slightly Above Avg,14.58,Slightly Above Avg,25.13,Way Above Avg,7.69,Average,12.26,Average,8.88,Average,5.65,Way Below Avg,16.28,Average,61.11,Slightly Above Avg,44.22,Slightly Above Avg,10.38,Average,43.66,Slightly Above Avg,12.33,Average,32.94,Average,61.18,Way Above Avg,38.62,Average,20.81,Slightly Above Avg,42.82,Way Above Avg,79.3,Slightly Above Avg,1,4,14,No,No,No,No,No,78.00%,Above Average,92.35%,Good,No
1108,10,3,AL-BAYAN,1,0,0,-1,1,0,1,-1,1,-1,1,0,1,-1,0,-1,1,0,1,-1,1,0,1,0,1,0,1,-1,1,0,0,0,1,0,1,-1,1,0,1,0,0,-1,1,0,1,0,1,0,48.33,Slightly Above Avg,33.09,Way Above Avg,13.31,Slightly Above Avg,22.64,Way Above Avg,27.63,Way Above Avg,11.05,Slightly Above Avg,17.34,Way Above Avg,13.1,Way Above Avg,9.03,Slightly Above Avg,18.61,Way Above Avg,10.44,Slightly Above Avg,35.76,Slightly Above Avg,23.67,Average,103.37,Way Above Avg,19.2,Average,21.79,Slightly Above Avg,33.65,Slightly Above Avg,51.55,Way Above Avg,37.5,Slightly Above Avg,39.71,Slightly Above Avg,142.39,Way Above Avg,16.72,Slightly Above Avg,15.8,Slightly Above Avg,46.69,Slightly Above Avg,1,1,11,No,No,No,No,No,Meeting Class Benchmarks,Good,Meeting Class Benchmarks,Good,No
1126,8,1,AL-BAYAN,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,-1,1,-1,0,0,1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,69.73,Slightly Above Avg,47.5,Slightly Above Avg,23.5,Slightly Above Avg,10.54,Average,26.78,Slightly Above Avg,14.17,Slightly Above Avg,16.89,Slightly Above Avg,15.51,Slightly Above Avg,19.73,Way Above Avg,31.71,Way Above Avg,17.32,Slightly Above Avg,39.94,Average,91.49,Slightly Above Avg,96.68,Slightly Above Avg,25.18,Average,21.66,Average,16.06,Average,14.46,Average,59.74,Slightly Above Avg,27.82,Average,41.02,Average,20,Slightly Above Avg,13.22,Slightly Above Avg,63.66,Average,1,1,12.5,No,No,No,No,No,Meeting Class Benchmarks,Good,Meeting Class Benchmarks,Good,No
1131,10,2,AL-BAYAN,1,0,1,0,1,-1,1,-1,1,0,1,0,1,0,1,0,1,0,0,0,1,-1,1,0,0.5,0,1,0,0,0,0,0,1,-1,1,0,1,0,0,-1,0,0,1,0,0,0,1,0,29.72,Average,25.28,Average,27.3,Way Above Avg,17.73,Way Above Avg,20.02,Slightly Above Avg,6.11,Slightly Below Avg,11.01,Average,9.26,Average,7.07,Average,26.52,Slightly Above Avg,19.2,Way Above Avg,48.93,Average,48.94,Slightly Above Avg,65.02,Slightly Above Avg,16.36,Slightly Below Avg,31.19,Slightly Above Avg,52.83,Way Above Avg,23.94,Slightly Above Avg,59.11,Slightly Above Avg,69.27,Way Above Avg,50.69,Average,13.33,Average,10.72,Average,68.21,Slightly Above Avg,2,1,12.5,,,,,,66.67%,Above Average,80.00%,Good,No
1133,8,2,AL-BAYAN,1,-1,1,0,1,-1,1,-1,1,0,1,-1,1,-1,1,-1,0,-1,1,-1,1,-1,0,-1,1,-1,1,0,1,0,0,-1,1,0,0,-1,1,-1,0,0,0,0,1,-1,1,0,1,0,156.88,Way Above Avg,44.98,Slightly Above Avg,43.51,Way Above Avg,20.75,Way Above Avg,30.48,Slightly Above Avg,46.51,Way Above Avg,27.21,Way Above Avg,41.52,Way Above Avg,42.53,Way Above Avg,53.67,Way Above Avg,25.53,Way Above Avg,106.02,Way Above Avg,162.06,Way Above Avg,78.04,Slightly Above Avg,68.17,Slightly Above Avg,88.23,Way Above Avg,42.02,Slightly Above Avg,51.29,Way Above Avg,76.73,Way Above Avg,44.58,Slightly Above Avg,47.9,Average,89.7,Way Above Avg,13.13,Slightly Above Avg,46.28,Average,1,2,3,,,,,,A,Good,A,Good,No
1135,10,2,AL-BAYAN,1,0,1,0,1,0,1,0,1,0,0,0,1,-1,1,-1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,1,0,74.84,Slightly Above Avg,33.38,Average,13.85,Slightly Above Avg,12.77,Slightly Above Avg,29.49,Slightly Above Avg,14.26,Slightly Above Avg,31.3,Way Above Avg,30.65,Way Above Avg,12.08,Slightly Above Avg,13.5,Average,14.19,Slightly Above Avg,57.89,Slightly Above Avg,60.24,Slightly Above Avg,57.87,Slightly Above Avg,30.46,Average,13.08,Average,46.05,Slightly Above Avg,38.86,Slightly Above Avg,68.83,Way Above Avg,13.17,Way Below Avg,26.12,Slightly Below Avg,17.78,Slightly Above Avg,8.68,Average,47.61,Average,1,2,12,,,,,,Meeting Class Benchmarks,Good,Meeting Class Benchmarks,Good,No
1137,9,1,AL-BAYAN,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,21.66,Average,23.22,Average,8.02,Slightly Below Avg,9,Average,6.35,Slightly Below Avg,5.96,Slightly Below Avg,7.87,Slightly Below Avg,4.69,Way Below Avg,8.33,Average,8.52,Average,6.11,Average,10.82,Way Below Avg,23.58,Average,17.53,Slightly Below Avg,13.64,Way Below Avg,7.74,Slightly Below Avg,15.03,Average,14.2,Average,23.14,Slightly Below Avg,28.51,Average,40.84,Average,11.48,Slightly Below Avg,6.7,Slightly Below Avg,72.65,Slightly Above Avg,2,1,12,No,No,No,No,No,78.00%,Above Average,81.76%,Above Average,No
1142,7,1,AL-BAYAN,1,0,1,0,1,-1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,78.33,Slightly Above Avg,22.83,Average,45.88,Way Above Avg,19.58,Slightly Above Avg,15.79,Average,16.27,Slightly Above Avg,22.6,Slightly Above Avg,5.75,Slightly Below Avg,6.39,Average,4.38,Way Below Avg,20.75,Slightly Above Avg,43.89,Average,31.33,Average,41.42,Average,6.08,Way Below Avg,6.29,Way Below Avg,7.75,Way Below Avg,18.81,Average,84.38,Slightly Above Avg,34.7,Average,84.1,Slightly Above Avg,12.26,Average,13.3,Slightly Above Avg,23.14,Slightly Below Avg,1,1,24,No,No,No,No,No,Meeting Class Benchmarks,Good,Meeting Class Benchmarks,Good,No
1153,7,1,AL-BAYAN,1,0,0,0,1,0,1,0,1,0,1,-1,1,0,1,0,0,0,1,0,1,0,1,0,0.5,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-1,1,-1,1,0,35.44,Average,33.49,Average,11.89,Average,14.32,Slightly Above Avg,22.55,Average,48.57,Way Above Avg,15.18,Average,10.22,Average,11.14,Slightly Above Avg,22.01,Slightly Above Avg,11.16,Slightly Above Avg,88.83,Slightly Above Avg,14.39,Slightly Below Avg,36.31,Average,12.75,Way Below Avg,33.3,Slightly Above Avg,37.98,Slightly Above Avg,30.42,Slightly Above Avg,34.68,Average,43.58,Average,59.82,Average,34.51,Way Above Avg,63.73,Way Above Avg,73.66,Slightly Above Avg,1,1,17.5,No,No,No,Yes,No,78.00%,Above Average,87.84%,Good,No
1158,10,2,AL-BAYAN,1,0,1,0,0,-1,1,-1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,-1,1,0,0,0,0,-1,0,0,1,0,1,0,0,-1,0,0,1,-1,1,0,1,-1,25.69,Average,21.69,Average,24.46,Way Above Avg,17.7,Way Above Avg,30.56,Slightly Above Avg,12.79,Average,9.19,Average,8.56,Average,6.37,Average,17.35,Slightly Above Avg,5.18,Slightly Below Avg,39.98,Average,70.19,Way Above Avg,79.3,Slightly Above Avg,17.46,Average,50.41,Way Above Avg,49.59,Slightly Above Avg,44.54,Slightly Above Avg,42.88,Slightly Above Avg,62.47,Way Above Avg,67.26,Slightly Above Avg,36.02,Way Above Avg,5.99,Slightly Below Avg,88.64,Way Above Avg,1,3,10,No,No,Yes,No,No,70.00%,Above Average,85.00%,Good,No
1162,11,3,AL-BAYAN,1,0,1,0,1,0,1,0,1,0,1,-1,1,0,1,0,1,0,1,-1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,-1,1,0,1,0,0,-1,1,-1,1,-1,1,0,21.21,Average,14.22,Average,4.18,Slightly Below Avg,4.82,Slightly Below Avg,11.51,Average,22.69,Way Above Avg,13.41,Slightly Above Avg,7.92,Slightly Above Avg,6.57,Average,15.29,Way Above Avg,9.53,Slightly Above Avg,15.88,Average,10.98,Slightly Below Avg,10.6,Slightly Below Avg,11.06,Slightly Below Avg,4.11,Way Below Avg,20.38,Average,47.79,Way Above Avg,23.73,Average,25.1,Slightly Above Avg,105.11,Way Above Avg,48.88,Way Above Avg,57.19,Way Above Avg,15.46,Slightly Below Avg,1,2,16,No,No,No,No,No,70.00%,Above Average,65.00%,Above Average,No
1168,8,2,AL-BAYAN,1,-1,1,0,1,-1,1,-1,1,0,1,-1,1,0,0,0,1,0,1,0,1,-1,1,-1,1,-1,1,0,0,0,1,-1,1,-1,1,-1,1,-1,0,-1,0,-1,1,-1,1,0,1,-1,137.03,Way Above Avg,49.51,Slightly Above Avg,38.18,Way Above Avg,29.02,Way Above Avg,13.22,Average,36.11,Way Above Avg,15.74,Slightly Above Avg,9.35,Average,12.87,Slightly Above Avg,8.42,Average,19.83,Way Above Avg,92.44,Way Above Avg,120.1,Way Above Avg,31.96,Average,49.53,Slightly Above Avg,43.18,Way Above Avg,77.15,Way Above Avg,74.21,Way Above Avg,121.83,Way Above Avg,89.68,Way Above Avg,114.34,Way Above Avg,190.52,Way Above Avg,17.33,Slightly Above Avg,128.62,Way Above Avg,2,2,5,,,,,,A,Good,A,Good,No
1174,10,2,AL-BAYAN,1,0,0,0,1,0,1,0,1,0,1,0,1,-1,1,0,1,0,1,0,0,-1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,-1,1,0,44.82,Slightly Above Avg,24.61,Average,11.34,Average,9.58,Average,30.45,Slightly Above Avg,15.51,Slightly Above Avg,22.35,Way Above Avg,14.62,Slightly Above Avg,14.7,Slightly Above Avg,15.72,Slightly Above Avg,20.76,Way Above Avg,54.59,Slightly Above Avg,28.97,Average,53.21,Slightly Above Avg,27.25,Average,5.78,Slightly Below Avg,12.6,Slightly Below Avg,37.47,Slightly Above Avg,54.14,Slightly Above Avg,34.49,Average,41.41,Average,5.92,Way Below Avg,20.61,Way Above Avg,48.4,Average,1,5,15,No,No,No,No,No,Meeting Class Benchmarks,Good,Meeting Class Benchmarks,Good,No
1180,8,1,AL-BAYAN,1,0,0,0,1,0,1,0,1,-1,1,0,1,0,1,-1,1,-1,1,0,1,-1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,-1,1,0,1,0,1,0,37.74,Average,49.59,Slightly Above Avg,21.1,Slightly Above Avg,10.44,Average,47.44,Way Above Avg,22.73,Slightly Above Avg,10.31,Average,32.45,Way Above Avg,17.76,Way Above Avg,11.62,Average,54,Way Above Avg,32.65,Average,55.82,Slightly Above Avg,46.93,Average,36.3,Average,12.36,Average,16.71,Average,12.68,Average,69.29,Slightly Above Avg,59.23,Slightly Above Avg,163.9,Way Above Avg,12.46,Average,12.5,Average,27,Slightly Below Avg,1,1,15,No,No,No,No,No,96.00%,Excellent,80.78%,Above Average,No
